% Model:              Periodic.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 18:58
% Dimension:          1
% Nodes:              333
% Expressions:        1
% Description:        Line graph
% X                       Height
-2.5E-4                   300
-2.444000988360268E-4     300.04276638152623
-2.3880019767205367E-4    300.0856926152939
-2.3320029650808043E-4    300.128778701303
-2.2760039534410723E-4    300.1720246395535
-2.2200049418013407E-4    300.2154304300455
-2.1640059301616086E-4    300.2589960727789
-2.108006918521877E-4     300.3028930528326
-2.052007906882145E-4     300.3473197229992
-1.996008895242413E-4     300.39227608327883
-1.9400098836026808E-4    300.43776213367147
-1.8840108719629488E-4    300.4837778741771
-1.828011860323217E-4     300.53032330479584
-1.7720128486834851E-4    300.5775658610888
-1.7160138370437533E-4    300.625846811881
-1.660014825404021E-4     300.6751661571724
-1.604015813764289E-4     300.72552389696307
-1.5480168021245574E-4    300.77692003125304
-1.4920177904848253E-4    300.8293545600423
-1.436190557606766E-4     300.882872797465
-1.3803633247287068E-4    300.9382776352799
-1.3245360918506474E-4    300.995569073487
-1.268708858972588E-4     301.0547471120863
-1.2128816260945286E-4    301.11581175107784
-1.1570543932164692E-4    301.17876299046156
-1.1077628533536007E-4    301.23634516949363
-1.0584713134907322E-4    301.2966715200813
-1.0091797736278636E-4    301.35974204222464
-9.59888233764995E-5      301.42555673592364
-9.105966939021265E-5     301.4941156011783
-8.61305154039258E-5      301.56541863798856
-8.2395812504828E-5       301.62178139923617
-7.866110960573021E-5     301.68112674283645
-7.492640670663241E-5     301.74345466878924
-7.119170380753461E-5     301.80876517709464
-6.745700090843682E-5     301.8770582677527
-6.372229800933903E-5     301.94833394076335
-6.095791310619755E-5     302.0035836109406
-5.819352820305606E-5     302.06187005947595
-5.542914329991457E-5     302.1231932863694
-5.2664758396773085E-5    302.18755329162093
-4.990037349363159E-5     302.2549500752307
-4.713598859049011E-5     302.3253836371984
-4.50899056303781E-5      302.38004817137573
-4.304382267026608E-5     302.4377836784772
-4.0997739710154065E-5    302.4985901585028
-3.895165675004205E-5     302.5624676114526
-3.690557378993004E-5     302.62941603732656
-3.4859490829818026E-5    302.6994354361247
-3.3345065413043987E-5    302.7538072137422
-3.183063999626994E-5     302.81127207752684
-3.0316214579495895E-5    302.8718300274786
-2.880178916272185E-5     302.93548106359754
-2.728736374594781E-5     303.0022251858837
-2.5772938329173764E-5    303.07206239433697
-2.4652023030365227E-5    303.1263290725308
-2.3531107731556686E-5    303.1837045506353
-2.2410192432748146E-5    303.2441888286507
-2.1289277133939602E-5    303.30778190657685
-2.0168361835131065E-5    303.37448378441377
-1.9047446536322525E-5    303.4442944621615
-1.8217792593358873E-5    303.49855249188516
-1.7388138650395222E-5    303.55593881311046
-1.655848470743157E-5     303.61645342583745
-1.572883076446792E-5     303.68009633006614
-1.4899176821504268E-5    303.7468675257966
-1.4069522878540614E-5    303.8167670130287
-1.3455445803802796E-5    303.8710989977733
-1.2841368729064974E-5    303.92858180779683
-1.2227291654327154E-5    303.9892154430993
-1.1613214579589334E-5    304.0529999036807
-1.0999137504851514E-5    304.119935189541
-1.0385060430113694E-5    304.1900213006803
-9.930547002969126E-6     304.24452296277923
-9.47603357582456E-6      304.30220655640886
-9.021520148679993E-6     304.36307208156916
-8.567006721535425E-6     304.42711953826023
-8.11249329439086E-6      304.4943489264821
-7.657979867246292E-6     304.5647602462347
-7.3215686818450845E-6    304.61952191180444
-6.985157496443875E-6     304.6775200873698
-6.648746311042666E-6     304.73875477293086
-6.312335125641458E-6     304.80322596848754
-5.975923940240249E-6     304.87093367404
-5.639512754839041E-6     304.94187788958806
-5.3905159574743635E-6    304.99706927168296
-5.1415191601096855E-6    305.0555971117178
-4.8925223627450084E-6    305.1174614096926
-4.6435255653803305E-6    305.1826621656073
-4.3945287680156525E-6    305.25119937946204
-4.145531970650975E-6     305.3230730512566
-3.9612357905839715E-6    305.378961261583
-3.7769396105169676E-6    305.43833616768876
-3.5926434304499637E-6    305.5011977695739
-3.4083472503829594E-6    305.5675460672383
-3.224051070315956E-6     305.63738106068206
-3.0397548902489516E-6    305.7107027499052
-2.903347643208751E-6     305.76755893397063
-2.766940396168551E-6     305.82799487141614
