% Model:              Estacionari diferencies.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 19:02
% Dimension:          1
% Nodes:              24039
% Expressions:        1
% Description:        Line graph
% X                       Height
-2.5E-4                   300.00000187439286
-2.499591666666667E-4     300.0002712429769
-2.499183333333334E-4     300.0005406115609
-2.498775000000001E-4     300.00080998014494
-2.4983667667333507E-4    300.0010790015482
-2.4979585334667E-4       300.0013480229514
-2.49755030020005E-4      300.00161704435465
-2.4971421670000836E-4    300.00188664612205
-2.4967340338001175E-4    300.0021562478894
-2.496325900600151E-4     300.0024258496568
-2.495917867466867E-4     300.002695193009
-2.4955098343335837E-4    300.0029645363612
-2.4951018012003E-4       300.00323387971343
-2.4946938681337E-4       300.00350313361554
-2.4942859350671E-4       300.00377238751764
-2.4938780020004994E-4    300.00404164141975
-2.4934701690005836E-4    300.0043108709531
-2.4930623360006673E-4    300.0045801004864
-2.492654503000751E-4     300.00484933001974
-2.4922467700675175E-4    300.0051185669032
-2.491839037134284E-4     300.0053878037867
-2.491431304201051E-4     300.00565704067014
-2.491023671334501E-4     300.0059262518074
-2.49061603846795E-4      300.0061954629446
-2.4902084056014E-4       300.0064646740819
-2.4898008728015337E-4    300.0067337414908
-2.4893933400016666E-4    300.0070028088997
-2.4889858072018E-4       300.0072718763086
-2.488578374468617E-4     300.0075406955759
-2.488170941735433E-4     300.0078095148432
-2.48776350900225E-4      300.0080783341105
-2.4873561763357496E-4    300.00834715459257
-2.4869488436692495E-4    300.0086159750746
-2.48654151100275E-4      300.0088847955566
-2.4861342784029337E-4    300.0091536286468
-2.4857270458031165E-4    300.00942246173696
-2.4853198132033E-4       300.0096912948272
-2.4849126806701665E-4    300.009960155362
-2.4845055481370333E-4    300.0102290158968
-2.4840984156039E-4       300.01049787643166
-2.48369138313745E-4      300.010766760252
-2.483284350671E-4        300.01103564407236
-2.48287731820455E-4      300.0113045278927
-2.482470385804784E-4     300.01157326794555
-2.482063453405017E-4     300.0118420079983
-2.48165652100525E-4      300.0121107480511
-2.4812496886721666E-4    300.0123793215423
-2.480842856339083E-4     300.0126478950335
-2.480436024006E-4        300.01291646852474
-2.4800292917396004E-4    300.0131849479329
-2.479622559473201E-4     300.01345342734106
-2.4792158272068015E-4    300.0137219067492
-2.478809195007085E-4     300.0139903207771
-2.478402562807368E-4     300.0142587348051
-2.4779959306076515E-4    300.014527148833
-2.4775893984746184E-4    300.0147954393579
-2.4771828663415854E-4    300.01506372988274
-2.4767763342085523E-4    300.0153320204076
-2.476369902142202E-4     300.015600278678
-2.4759634700758526E-4    300.01586853694835
-2.4755570380095024E-4    300.0161367952187
-2.475150706009836E-4     300.01640507111443
-2.474744374010169E-4     300.0166733470102
-2.474338042010503E-4     300.01694162290596
-2.4739318100775197E-4    300.01720995571367
-2.4735255781445364E-4    300.0174782885213
-2.473119346211553E-4     300.017746621329
-2.472713214345253E-4     300.01801495557805
-2.472307082478953E-4     300.018283289827
-2.4719009506126533E-4    300.01855162407605
-2.4714949188130376E-4    300.018819771108
-2.47108888701342E-4      300.0190879181399
-2.4706828552138033E-4    300.01935606517185
-2.4702769234808704E-4    300.0196239463647
-2.469870991747937E-4     300.01989182755744
-2.4694650600150036E-4    300.02015970875027
-2.469059228348754E-4     300.02042751854816
-2.468653396682504E-4     300.02069532834605
-2.4682475650162543E-4    300.02096313814394
-2.467841833416688E-4     300.02123098362097
-2.467436101817121E-4     300.021498829098
-2.467030370217554E-4     300.021766674575
-2.4666247386846707E-4    300.0220346499788
-2.4662191071517876E-4    300.02230262538257
-2.465813475618904E-4     300.0225706007863
-2.4654079441527044E-4    300.0228385955668
-2.465002412686505E-4     300.0231065903472
-2.4645968812203053E-4    300.0233745851276
-2.464191449820789E-4     300.02364238835895
-2.4637860184212725E-4    300.02391019159035
-2.4633805870217563E-4    300.0241779948217
-2.4629752556889226E-4    300.02444564325157
-2.462569924356089E-4     300.02471329168145
-2.4621645930232556E-4    300.02498094011133
-2.461759361757106E-4     300.02524847270496
-2.4613541304909555E-4    300.0255160052985
-2.460948899224806E-4     300.02578353789215
-2.460543768025339E-4     300.0260509413971
-2.4601386368258726E-4    300.02631834490205
-2.459733505626406E-4     300.026585748407
-2.4593284744936223E-4    300.02685314191734
-2.4589234433608395E-4    300.0271205354277
-2.458518412228056E-4     300.027387928938
-2.4581134811619556E-4    300.02765536516205
-2.457708550095855E-4     300.027922801386
-2.4573036190297557E-4    300.02819023761003
-2.4568987880303403E-4    300.0284576591801
-2.4564939570309244E-4    300.0287250807501
-2.4560891260315084E-4    300.02899250232014
-2.4556843950987743E-4    300.0292597949067
-2.455279664166041E-4     300.0295270874932
-2.4548749332333077E-4    300.02979438007975
-2.454470302367258E-4     300.0300615837864
-2.454065671501208E-4     300.030328787493
-2.4536610406351584E-4    300.03059599119956
-2.453256509835792E-4     300.03086315654303
-2.4528519790364246E-4    300.0311303218865
-2.452447448237058E-4     300.03139748723
-2.452043017504375E-4     300.03166463294974
-2.4516385867716915E-4    300.0319317786695
-2.451234156039009E-4     300.03219892438926
-2.4508298253730085E-4    300.03246598663844
-2.450425494707009E-4     300.03273304888756
-2.4500211640410095E-4    300.03300011113674
-2.449616933441693E-4     300.03326716795664
-2.4492127028423764E-4    300.03353422477653
-2.44880847224306E-4      300.0338012815964
-2.448404341710427E-4     300.03406824156343
-2.448000211177794E-4     300.03433520153044
-2.447596080645161E-4     300.03460216149745
-2.447192050179211E-4     300.03486902542016
-2.446788019713261E-4     300.0351358893428
-2.446383989247311E-4     300.0354027532655
-2.4459800588480453E-4    300.0356695182551
-2.4455761284487783E-4    300.03593628324467
-2.4451721980495124E-4    300.03620304823426
-2.4447683677169293E-4    300.0364698492135
-2.4443645373843463E-4    300.0367366501927
-2.443960707051763E-4     300.037003451172
-2.443556976785863E-4     300.037270293626
