% Model:              Estacionari.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 19:17
% Dimension:          1
% Nodes:              309
% Expressions:        1
% Description:        Line graph
% X                       Height
-2.5E-4                   300
-2.444730313797208E-4     300.03243479049445
-2.3894606275944152E-4    300.06498752962983
-2.3341909413916224E-4    300.0976582174063
-2.2789212551888296E-4    300.13044685382386
-2.2236515689860373E-4    300.1633534388824
-2.1683818827832445E-4    300.196377972582
-2.113112196580452E-4     300.2296486787264
-2.0578425103776594E-4    300.26330872510323
-2.0025728241748666E-4    300.2973581117124
-1.9473031379720738E-4    300.331796838554
-1.8920334517692815E-4    300.36662490562804
-1.836763765566489E-4     300.40184231293443
-1.7814940793636964E-4    300.4375791939182
-1.7262243931609038E-4    300.47407842217746
-1.670954706958111E-4     300.5113399977122
-1.6156850207553182E-4    300.54936392052235
-1.5604153345525257E-4    300.588150190608
-1.505145648349733E-4     300.6276988079691
-1.4500395566785076E-4    300.66804091176044
-1.394933465007282E-4     300.7097634186854
-1.3398273733360565E-4    300.752866328744
-1.284721281664831E-4     300.79734964193636
-1.2296151899936051E-4    300.84321335826246
-1.1745090983223797E-4    300.89045747772224
-1.1251479003405902E-4    300.9341701243367
-1.0757867023588007E-4    300.97992730977984
-1.026425504377011E-4     301.0277290340518
-9.770643063952213E-5     301.0775752971526
-9.277031084134319E-5     301.12946609908215
-8.783419104316424E-5     301.18340143984057
-8.406442476656132E-5     301.2263711185717
-8.02946584899584E-5      301.2715696094593
-7.652489221335548E-5     301.3189969125034
-7.275512593675257E-5     301.36865302770406
-6.898535966014965E-5     301.4205379550613
-6.521559338354672E-5     301.4746516945751
-6.241353479382938E-5     301.5167444396558
-5.961147620411203E-5     301.5611169112875
-5.6809417614394676E-5    301.60776910947044
-5.400735902467733E-5     301.6567010342045
-5.120530043495997E-5     301.7079126854897
-4.840324184524263E-5     301.76140406332604
-4.632111437350827E-5     301.8030527731563
-4.423898690177392E-5     301.8470100136268
-4.2156859430039567E-5    301.8932757847375
-4.0074731958305215E-5    301.9418500864884
-3.799260448657086E-5     301.9927329188796
-3.5910477014836505E-5    302.04592428191097
-3.4363309013127365E-5    302.087373380274
-3.281614101141823E-5     302.13115105030533
-3.12689730097091E-5      302.17725729200504
-2.9721805007999963E-5    302.22569210537307
-2.8174637006290833E-5    302.2764554904095
-2.66274690045817E-5      302.32954744711424
-2.5477816259187253E-5    302.3709388076411
-2.432816351379281E-5     302.41467681859933
-2.317851076839836E-5     302.4607614799889
-2.2028858023003914E-5    302.5091927918098
-2.0879205277609467E-5    302.55997075406214
-1.9729552532215023E-5    302.6130953667458
