// Model:              Estacionari.mph
// Version:            COMSOL 5.3.1.275
// Date:               Jul 27 2021, 10:45
// Dimension:          1
// Nodes:              309
// Expressions:        1
// Description:        Line graph
// X                       Height
-2.5E-4                   300
-2.444730313797208E-4     300.0414630312273
-2.3894606275944152E-4    300.0830768421614
-2.3341909413916224E-4    300.12484143280244
-2.2789212551888296E-4    300.16675680315035
-2.2236515689860373E-4    300.2088229532052
-2.1683818827832445E-4    300.2510398829669
-2.113112196580452E-4     300.2935715074019
-2.0578425103776594E-4    300.3366008451266
-2.0025728241748666E-4    300.3801278961409
-1.9473031379720738E-4    300.42415266044486
-1.8920334517692815E-4    300.4686751380385
-1.836763765566489E-4     300.5136953289218
-1.7814940793636964E-4    300.55937958925216
-1.7262243931609038E-4    300.6060383966216
-1.670954706958111E-4     300.65367175103023
-1.6156850207553182E-4    300.70227965247796
-1.5604153345525257E-4    300.7518621009649
-1.505145648349733E-4     300.802419096491
-1.4500395566785076E-4    300.85399044581135
-1.394933465007282E-4     300.9073264342047
-1.3398273733360565E-4    300.9624270616711
-1.284721281664831E-4     301.01929232821055
-1.2296151899936051E-4    301.07792223382313
-1.1745090983223797E-4    301.13831677850874
-1.1251479003405902E-4    301.19419686305395
-1.0757867023588007E-4    301.25269058489806
-1.026425504377011E-4     301.31379794404114
-9.770643063952213E-5     301.3775189404832
-9.277031084134319E-5     301.44385357422425
-8.783419104316424E-5     301.5128018452642
-8.406442476656132E-5     301.56773215654033
-8.02946584899584E-5      301.62551167104255
-7.652489221335548E-5     301.6861403887709
-7.275512593675257E-5     301.7496183097254
-6.898535966014965E-5     301.8159454339061
-6.521559338354672E-5     301.8851217613129
-6.241353479382938E-5     301.93893104418737
-5.961147620411203E-5     301.99565461676906
-5.6809417614394676E-5    302.055292479058
-5.400735902467733E-5     302.11784463105414
-5.120530043495997E-5     302.18331107275765
-4.840324184524263E-5     302.2516918041684
-4.632111437350827E-5     302.30493345466647
-4.423898690177392E-5     302.3611262166613
-4.2156859430039567E-5    302.4202700901528
-4.0074731958305215E-5    302.4823650751411
-3.799260448657086E-5     302.54741117162615
-3.5910477014836505E-5    302.61540837960797
-3.4363309013127365E-5    302.6683948572315
-3.281614101141823E-5     302.7243580659298
-3.12689730097091E-5      302.7832980057028
-2.9721805007999963E-5    302.84521467655054
-2.8174637006290833E-5    302.91010807847306
-2.66274690045817E-5      302.97797821147026
-2.5477816259187253E-5    303.0308908808621
-2.432816351379281E-5     303.0868033925388
-2.317851076839836E-5     303.14571574650034
-2.2028858023003914E-5    303.2076279427467
-2.0879205277609467E-5    303.272539981278
-1.9729552532215023E-5    303.3404518620941
-1.8875277166815003E-5    303.3934138713587
-1.8021001801414987E-5    303.4494003471455
-1.716672643601497E-5     303.5084112894545
-1.631245107061495E-5     303.5704466982857
-1.545817570521493E-5     303.63550657363913
-1.4603900339814917E-5    303.7035909155147
-1.3969119836737934E-5    303.7567045684491
-1.3334339333660954E-5    303.81287206464367
-1.2699558830583972E-5    303.8720934040984
-1.206477832750699E-5     303.9343685868134
-1.1429997824430008E-5    303.9996976127885
-1.0795217321353027E-5    304.0680804820239
-1.0323528565730788E-5    304.12144565792977
-9.851839810108546E-6     304.1779047833404
-9.380151054486304E-6     304.2374578582559
-8.908462298864063E-6     304.30010488267624
-8.436773543241819E-6     304.3658458566014
-7.965084787619579E-6     304.4346807800315
-7.614586154110506E-6     304.48840680822383
-7.264087520601432E-6     304.54528039709095
-6.913588887092357E-6     304.60530154663286
-6.563090253583283E-6     304.6684702568495
-6.2125916200742095E-6    304.734786527741
-5.862092986565136E-6     304.8042503593072
