% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:07
% Dimension:          1
% Nodes:              165
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-1.4999999999999998E-6    1.2499084704851326E7
-1.4637303775423095E-6    1.4814036054196911E7
-1.4637303754310254E-6    1.4814036177495576E7
-1.4637303733197403E-6    1.4814036300794315E7
-1.4274607508620504E-6    1.6735366074993443E7
-1.3911911326268873E-6    1.826307416492845E7
-1.3911911262930744E-6    1.8263074397454087E7
-1.3911911199592604E-6    1.8263074633782756E7
-1.354921503923642E-6     1.9510884553301655E7
-1.3186519187284304E-6    2.0546463004507568E7
-1.3186518815542099E-6    2.0546463957153402E7
-1.3186518443799574E-6    2.054646490979984E7
-1.2823822591847772E-6    2.1369812608900163E7
-1.246112725851009E-6     2.2041960041154988E7
-1.2461126392680334E-6    2.2041961509231612E7
-1.2461125526848952E-6    2.204196297731034E7
-1.2098430193512897E-6    2.2599767319928624E7
-1.1735735539946805E-6    2.304322839484068E7
-1.1735733994345406E-6    2.304323004198433E7
-1.1735732448741558E-6    2.3043231716947332E7
-1.1373037980952439E-6    2.3405685571522057E7
-1.1010345423463593E-6    2.370647961066892E7
-1.101034196756008E-6     2.370648218301989E7
-1.1010338511638376E-6    2.3706484755378813E7
-1.0647645954167726E-6    2.3945619875485398E7
-1.0285092321600664E-6    2.4140772404633265E7
-1.028503931976192E-6     2.4140798507864844E7
-1.028498630371395E-6     2.414082461738488E7
-9.922432685356114E-7     2.4302780177225646E7
-9.55997623768387E-7      2.4431518414712638E7
-9.559826050975413E-7     2.4431564911696866E7
-9.559675873859098E-7     2.4431612188190553E7
-9.197569555377511E-7     2.4536739079705E7
-8.835985509626299E-7     2.4623892778177146E7
-8.835313060660321E-7     2.4624038270094793E7
-8.834639640407691E-7     2.462418391043458E7
-8.473056565943127E-7     2.4693462455007434E7
-8.113144618099454E-7     2.4749816239525553E7
-8.111511416623236E-7     2.475005026961096E7
-8.109871843780829E-7     2.4750285015565917E7
-7.749966267303343E-7     2.4797034509754144E7
-7.391459280849769E-7     2.4834141067124296E7
-7.388421391876385E-7     2.4834415316408392E7
-7.38537535546172E-7      2.4834694415696774E7
-7.027958523399386E-7     2.4864902619224932E7
-6.673087365307145E-7     2.488987280376038E7
-6.66749544628364E-7      2.4890226219954718E7
-6.661863413538922E-7     2.489058091525173E7
-6.307032369167891E-7     2.4910385935145203E7
-5.956742665902383E-7     2.4926433186340544E7
-5.947977035310049E-7     2.4926800865275294E7
-5.939116179591805E-7     2.492717085686854E7
-5.588921701452209E-7     2.4940439687414326E7
-5.242490664941111E-7     2.4950967558914617E7
-5.229869971463377E-7     2.4951302499816883E7
-5.217180420110631E-7     2.4951642228440393E7
-4.872953712957647E-7     2.4960141737796925E7
-4.532813351538573E-7     2.4967173466192164E7
-4.516035102419485E-7     2.496748515914686E7
-4.4990552843762514E-7    2.4967797230840344E7
-4.1591164918813245E-7    2.4973332509152573E7
-3.825555136921276E-7     2.4977817598801844E7
-3.8050568691215737E-7    2.4978069722645357E7
-3.7843559223250005E-7    2.497832157815414E7
-3.4509972463618235E-7    2.4981995213673223E7
-3.1209024212121604E-7    2.498492383605014E7
-3.0969455091194617E-7    2.498510902222566E7
-3.073053590764404E-7     2.498529394647409E7
-2.7462789160653387E-7    2.4987613542120025E7
-2.4205493333441335E-7    2.4989534144840036E7
-2.3956176418424116E-7    2.4989665042882778E7
-2.3706059578801796E-7    2.4989794059494406E7
-2.0449563676194844E-7    2.4991263459012844E7
-1.722341993637422E-7     2.499243139840142E7
-1.6972203664415428E-7    2.4992512437724307E7
-1.6721296551999782E-7    2.499259194855062E7
-1.349484365263601E-7     2.499348715368347E7
-1.0264415223464602E-7    2.499414691322115E7
-1.0017454704041735E-7    2.4994187652909167E7
-9.772285512543393E-8     2.4994228066429093E7
-6.559088806445837E-8     2.499466477311561E7
-3.3308860667612614E-8    2.499492848063682E7
-3.100896392450039E-8     2.4994940573185593E7
-2.871975806128537E-8     2.4994951725211155E7
3.5729602154575867E-9     2.4995015037364263E7
3.5963939326253607E-8     2.4994913970082518E7
3.812630406862951E-8      2.4994900860920493E7
4.028203235844085E-8      2.4994886999368425E7
7.267964792180144E-8      2.4994583359461688E7
1.0517700019127086E-7     2.4994099212366153E7
1.0723395635131719E-7     2.4994062552519187E7
1.0927343615032076E-7     2.4994026315132536E7
1.4168080177424114E-7     2.4993321061162498E7
1.7440421538339429E-7     2.4992360812614635E7
1.7612619811709977E-7     2.4992303376967307E7
1.7783154966494872E-7     2.4992245815615747E7
2.1057159445995834E-7     2.4991009442014206E7
2.4369057382572927E-7     2.498944867912919E7
2.4510950633772544E-7     2.4989372537624687E7
2.465171984750937E-7      2.4989296246391E7
2.796474182154927E-7      2.4987284210142426E7
3.1304218165227776E-7     2.4984835744576897E7
3.141858832142446E-7      2.498474446275374E7
3.1533143525416465E-7     2.4984653834713772E7
3.490171141244808E-7      2.49816024084709E7
3.82920740601141E-7       2.49777746394399E7
3.83847632725584E-7       2.4977659332598787E7
3.84768566374759E-7       2.497754420513697E7
4.1867815132668743E-7     2.4972915146924783E7
4.5320812845108147E-7     2.4967188026247766E7
4.539449892606219E-7      2.496705037175422E7
4.546782356754416E-7      2.4966912752042465E7
4.892118271945562E-7      2.4959707726461366E7
5.239156452955573E-7      2.495103963521306E7
5.244785207914744E-7      2.49508873201222E7
5.2504529053011E-7        2.495073598015517E7
5.601485965105522E-7      2.4940009358002804E7
5.953721409889819E-7      2.4926562122812793E7
5.958188454590448E-7      2.492637432147357E7
5.962640250662547E-7      2.4926186731028914E7
6.314890944075371E-7      2.490998220248967E7
6.670967855835773E-7      2.4890007101738986E7
6.67439465387006E-7       2.4889790299158067E7
6.677812744193703E-7      2.488957358092254E7
7.033898363664748E-7      2.486444376243506E7
7.390891124330068E-7      2.4834173502865374E7
7.393399531531657E-7      2.4833942944102503E7
7.395911914162154E-7      2.4833715513690237E7
7.75428348286544E-7       2.4796530151620153E7
8.113310753886491E-7      2.4749794323071897E7
8.115168232625573E-7      2.474952784981237E7
8.11702231899529E-7       2.474926160987235E7
8.476052982385705E-7      2.469293599047028E7
8.836559553432028E-7      2.4623768243026882E7
8.837816319492449E-7      2.4623496113310535E7
8.839071184402485E-7      2.4623224180331506E7
9.199579656599197E-7      2.453620750895102E7
9.560634307764446E-7      2.443129358734473E7
9.561342808085737E-7      2.443107036487774E7
9.562051285016729E-7      2.443085076723937E7
9.92360777160816E-7       2.4302306369463786E7
1.0285455211904332E-6     2.414059542090103E7
1.0285872785507792E-6     2.4140389698539417E7
1.028629002334934E-6      2.41401840975991E7
1.0648137799407422E-6     2.394532023706776E7
1.101049163849793E-6      2.3706366572709545E7
1.1010694829644973E-6     2.3706215311129924E7
1.1010897943725238E-6     2.370606408757737E7
1.1373251859882525E-6     2.340548906336488E7
1.1735743262569715E-6     2.3043212659529738E7
1.1735808887835995E-6     2.3043141538331166E7
1.1735874514275697E-6     2.304307159516151E7
1.2098480079493956E-6     2.259969336753812E7
1.246112944029953E-6      2.2041952586137623E7
1.2461151271568874E-6     2.2041915569403406E7
1.2461173100201752E-6     2.2041878556725338E7
1.2823822463643791E-6     2.136980810219375E7
1.3186518677098538E-6     2.0546459717495006E7
1.3186518725320346E-6     2.0546459593919344E7
1.3186518773542152E-6     2.0546459470343694E7
1.3549214986996903E-6     1.951088034228962E7
1.391191125236259E-6      1.8263070333767448E7
1.4274607499115643E-6     1.6735362363582566E7
1.4637303750787669E-6     1.4814032874916133E7
1.5E-6                    1.2499081902852148E7
