% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:12
% Dimension:          1
% Nodes:              80
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-2.0999999999999997E-7    1.135051356927381E7
-2.0235287721884424E-7    1.1830948230539165E7
-1.9470575443768845E-7    1.2286524316600164E7
-1.870586316565327E-7     1.2718097019256763E7
-1.7941150887537693E-7    1.3126478192514062E7
-1.7176438609422109E-7    1.3512441827063477E7
-1.6411726331306527E-7    1.38767138304688E7
-1.5647014053190948E-7    1.421998336892558E7
-1.4882301775075367E-7    1.4542897306209585E7
-1.4117589496959788E-7    1.4846068040932843E7
-1.335287721884421E-7     1.5130065360638395E7
-1.2588164940728628E-7    1.5395426710271668E7
-1.1823452662613049E-7    1.5642651990861854E7
-1.1059064211736336E-7    1.5872116879108327E7
-1.0294675824317463E-7    1.608436037471657E7
-1.0294675760859624E-7    1.6084360391621713E7
-1.0294675697506632E-7    1.6084360408500366E7
-9.531550430167148E-8     1.6279474759634161E7
-8.768425384570942E-8     1.6458190577304723E7
-8.76842509947467E-8      1.6458190641008321E7
-8.768424815537602E-8     1.6458190704459181E7
-8.008402916278596E-8     1.6620216983451903E7
-7.24838135774651E-8      1.6766613368333038E7
-7.24838073308252E-8      1.676661348223356E7
-7.248380113479716E-8     1.6766613595224667E7
-6.494516756545003E-8     1.689665340107846E7
-5.7406536868814555E-8    1.7011822930375557E7
-5.7406527800074854E-8    1.7011823059977405E7
-5.7406518846375945E-8    1.701182318795387E7
-4.996352081311783E-8     1.7111151756610874E7
-4.25205238392913E-8      1.7196368717324786E7
-4.252051382616082E-8     1.7196368822475694E7
-4.252050396493725E-8     1.719636892605046E7
-3.519042316278164E-8     1.7266650091972988E7
-2.7860341643752818E-8    1.7323514461383056E7
-2.7860332499402452E-8    1.7323514523953736E7
-2.7860323480172734E-8    1.7323514585684083E7
-2.063053705376621E-8     1.736655617982678E7
-1.3400748917792823E-8    1.739671428687715E7
-1.3400741608129967E-8    1.7396714310855515E7
-1.34007343613119E-8      1.7396714334639385E7
-6.23310248073596E-9      1.7413946177817214E7
9.345313317569074E-10     1.7418593761451777E7
9.345366466580461E-10     1.7418593760232646E7
9.345419499401295E-10     1.741859375902438E7
8.086508323023203E-9      1.7410697412861224E7
1.5238476625489366E-8     1.7390266390888743E7
1.5238479999388364E-8     1.7390266378293943E7
1.5238483359130196E-8     1.7390266365757108E7
2.2360443214471576E-8     1.7357432386169277E7
2.9482404802466638E-8     1.731208146080413E7
2.9482406429554786E-8     1.7312081449013516E7
2.948240806218593E-8      1.731208143718531E7
3.662863344414584E-8      1.725392188543961E7
4.3774859929041166E-8     1.7182989256193336E7
4.37748604587369E-8       1.7182989250462253E7
4.377486099444847E-8      1.718298924466702E7
5.10022491058628E-8       1.7098140752350427E7
5.822963766657013E-8      1.6999964571394175E7
5.822963784083417E-8      1.6999964568866495E7
6.55763605660941E-8       1.688633894406265E7
7.29230833791995E-8       1.6758572695545955E7
8.039349968846243E-8      1.6613926693961645E7
8.786391599772534E-8      1.6454168911045348E7
9.54308275566581E-8       1.6276649102489391E7
1.0299773911559083E-7     1.6083000967396569E7
1.1062001527672606E-7     1.587126834033845E7
1.1824229143786126E-7     1.5642409981137274E7
1.2588553181315167E-7     1.5395296624622192E7
1.335287721884421E-7      1.5130065358410837E7
1.4117589496959788E-7     1.4846068038010526E7
1.4882301775075367E-7     1.4542897302485572E7
1.5647014053190948E-7     1.4219983365462722E7
1.6411726331306527E-7     1.3876713827162676E7
1.7176438609422109E-7     1.3512441823888432E7
1.7941150887537693E-7     1.3126478189462153E7
1.870586316565327E-7      1.2718097016324729E7
1.9470575443768845E-7     1.2286524313781688E7
2.0235287721884424E-7     1.1830948227829287E7
2.0999999999999997E-7     1.135051356666949E7
