% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:12
% Dimension:          1
% Nodes:              29
% Expressions:        1
% Description:        Line graph
% cln3x                   Height
-2.0999999999999992E-7    1.5487333333340915E7
-1.8066941440682948E-7    1.5487333333334584E7
-1.8003611772597686E-7    1.5487333333324868E7
-1.7937486964614686E-7    1.5487333333338402E7
-1.5007223545195378E-7    1.548733333334072E7
-1.2200824322048662E-7    1.5487333333348272E7
-1.2010835317793072E-7    1.5487333333348677E7
-1.1812460893844284E-7    1.5487333333326943E7
-9.01444709039076E-8      1.5487333333362874E7
-6.334707203414373E-8     1.5487333333362874E7
-6.018058862988451E-8     1.5487333333315633E7
-5.687434823073877E-8     1.548733333331704E7
-3.021670635586147E-8     1.5487333333318565E7
-4.685900847800847E-9     1.5487333333196713E7
-2.552562219618454E-10    1.5487333333221454E7
4.190939727305129E-9      1.5487333333247362E7
2.97832936441385E-8       1.5487333333343532E7
5.65052004494164E-8       1.5487333333321821E7
5.981941137011546E-8      1.5487333333362874E7
6.299352837664629E-8      1.5487333333362874E7
8.985552909609232E-8      1.5487333333350029E7
1.1790312026965023E-7     1.548733333334072E7
1.1989164682206923E-7     1.5487333333332783E7
1.2179611702598722E-7     1.548733333335534E7
1.499277645480461E-7      1.5487333333339132E7
1.7930104008988402E-7     1.5487333333334263E7
1.7996388227402305E-7     1.5487333333323328E7
1.8059870567532836E-7     1.5487333333346842E7
2.0999999999999992E-7     1.5487333333318457E7
