% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:11
% Dimension:          1
% Nodes:              29
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-2.0999999999999992E-7    2.5000000000012234E7
-1.8066941440682948E-7    2.5000000000002015E7
-1.8003611772597686E-7    2.4999999999986336E7
-1.7937486964614686E-7    2.500000000000818E7
-1.5007223545195378E-7    2.500000000001192E7
-1.2200824322048662E-7    2.5000000000024114E7
-1.2010835317793072E-7    2.5000000000024766E7
-1.1812460893844284E-7    2.499999999998968E7
-9.01444709039076E-8      2.5000000000047684E7
-6.334707203414373E-8     2.5000000000047684E7
-6.018058862988451E-8     2.4999999999971427E7
-5.687434823073877E-8     2.4999999999973696E7
-3.021670635586147E-8     2.499999999997616E7
-4.685900847800847E-9     2.4999999999779463E7
-2.552562219618454E-10    2.4999999999819398E7
4.190939727305129E-9      2.499999999986122E7
2.97832936441385E-8       2.5000000000016462E7
5.65052004494164E-8       2.4999999999981415E7
5.981941137011546E-8      2.5000000000047684E7
6.299352837664629E-8      2.5000000000047684E7
8.985552909609232E-8      2.500000000002695E7
1.1790312026965023E-7     2.500000000001192E7
1.1989164682206923E-7     2.499999999999911E7
1.2179611702598722E-7     2.500000000003552E7
1.499277645480461E-7      2.5000000000009358E7
1.7930104008988402E-7     2.50000000000015E7
1.7996388227402305E-7     2.4999999999983847E7
1.8059870567532836E-7     2.5000000000021804E7
2.0999999999999992E-7     2.4999999999975983E7
