% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:07
% Dimension:          1
% Nodes:              95
% Expressions:        1
% Description:        Line graph
% cln3x                   Height
-1.5E-6                   2.353333333332772E7
-1.4376249634548017E-6    2.353333333332772E7
-1.376940748812741E-6     2.3533333333310887E7
-1.3752499269096027E-6    2.3533333333344553E7
-1.3735119942590478E-6    2.3533333333376605E7
-1.3128748903644032E-6    2.3533333333378218E7
-1.2538814976254808E-6    2.3533333333294056E7
-1.2504985267657443E-6    2.3533333333284948E7
-1.2470449648079105E-6    2.353333333333032E7
-1.1882136976958506E-6    2.3533333333386634E7
-1.1301385882103248E-6    2.3533333333325412E7
-1.1259291716345242E-6    2.3533333333335612E7
-1.1216649470269306E-6    2.3533333333299316E7
-1.0636446455731973E-6    2.353333333332772E7
-1.0063700784133473E-6    2.3533333333344553E7
-1.0013601195118706E-6    2.3533333333310887E7
-9.963352789922353E-7     2.353333333333119E7
-9.393516186841692E-7     2.3533333333344582E7
-8.824772440315459E-7     2.3533333333329957E7
-8.773431178564675E-7     2.3533333333266933E7
-8.721991263185156E-7     2.3533333333287828E7
-8.15334617028766E-7      2.3533333333223045E7
-7.585791648816351E-7     2.353333333326039E7
-7.533246877794186E-7     2.3533333333209895E7
-7.480652928093475E-7     2.3533333333307207E7
-6.914217111158341E-7     2.3533333333352968E7
-6.34898148430267E-7      2.353333333334831E7
-6.29514104191548E-7      2.3533333333337188E7
-6.241186277709641E-7     2.35333333333172E7
-5.676064972672618E-7     2.3533333333361384E7
-5.11214107246721E-7      2.353333333332772E7
-5.056988903429756E-7     2.3533333333325922E7
-5.001853472607818E-7     2.3533333333330724E7
-4.43883847735272E-7      2.3533333333310913E7
-3.8759729867785865E-7    2.353333333333016E7
-3.8206880512756823E-7    2.3533333333332077E7
-3.765388431346777E-7     2.353333333327373E7
-3.2025376251986447E-7    2.3533333333353247E7
-2.639836280132214E-7     2.353333333327722E7
-2.5843531088228965E-7    2.353333333327722E7
-2.528503777151552E-7     2.3533333333447766E7
-1.9648207112046001E-7    2.3533333333487626E7
-1.4017848305134606E-7    2.3533333333322287E7
-1.3452607669304337E-7    2.3533333333361384E7
-1.2886717313948118E-7    2.353333333337401E7
-7.257008226562669E-8     2.3533333333352968E7
-1.6337628151965577E-8    2.3533333333361384E7
-1.0614087838210051E-8    2.3533333333344553E7
-4.8889193968473904E-9    2.3533333333378218E7
5.138426768925912E-8      2.3533333333352968E7
1.0776715712973007E-7     2.3533333333295863E7
1.1338262321672825E-7     2.3533333333381373E7
1.1898716347398075E-7     2.3533333333304577E7
1.7538097874419743E-7     2.353333333332772E7
2.3188473152865642E-7     2.3533333333301775E7
2.3737849602144962E-7     2.353333333324356E7
2.428727970610785E-7      2.3533333333378218E7
2.9968650204062E-7        2.353333333328932E7
3.5672065330423006E-7     2.3533333333284028E7
3.619927177279571E-7      2.3533333333300065E7
3.6724440476399914E-7     2.353333333326386E7
4.242989334152942E-7      2.353333333332774E7
4.81574842785115E-7       2.3533333333369367E7
4.866051491026315E-7      2.3533333333372176E7
4.916441096962975E-7      2.353333333339505E7
5.493727272210803E-7      2.3533333333344553E7
6.075332934505231E-7      2.3533333333277017E7
6.12140305339529E-7       2.3533333333344553E7
6.167131017291541E-7      2.353333333341609E7
6.749078834579778E-7      2.3533333333336137E7
7.335381019192844E-7      2.3533333333304603E7
7.37673928535572E-7       2.3533333333318606E7
7.417883272709169E-7      2.3533333333310887E7
8.008712456711963E-7      2.353333333333635E7
8.60528682770326E-7       2.353333333333153E7
8.640672137411834E-7      2.3533333333357293E7
8.675716676160732E-7      2.3533333333354697E7
9.272631818111706E-7      2.353333333336139E7
9.875351326535472E-7      2.3533333333320748E7
9.904591498811574E-7      2.3533333333344553E7
9.933696209531196E-7      2.3533333333310887E7
1.0540377170576498E-6     2.3533333333319303E7
1.1154193447107604E-6     2.353333333336711E7
1.1176162842341422E-6     2.3533333333331402E7
1.1197876854047595E-6     2.3533333333359282E7
1.1811948514106345E-6     2.3533333333428714E7
1.2433242413376068E-6     2.353333333333428E7
1.2447731336644003E-6     2.353333333333618E7
1.246207973021068E-6      2.353333333324356E7
1.3085799424275587E-6     2.3533333333378218E7
1.37166111332618E-6       2.3533333333344553E7
1.3723866282850393E-6     2.353333333339882E7
1.3731039865105333E-6     2.353333333336265E7
1.4361933141425192E-6     2.353333333332772E7
1.5E-6                    2.3533333333344553E7
