% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:15
% Dimension:          1
% Nodes:              144
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-8.0E-7                   1.2499306841487786E7
-7.80624124965996E-7      1.3799539089078952E7
-7.612482499319923E-7     1.4971144084368613E7
-7.418723748979883E-7     1.6014121827356784E7
-7.224964998639844E-7     1.694877267181133E7
-7.031206248299806E-7     1.7790811271215953E7
-6.837447497959767E-7     1.854023762557066E7
-6.643688747619727E-7     1.9211901726948947E7
-6.449929997279689E-7     1.981697798491521E7
-6.25617124693965E-7      2.0355466399469484E7
-6.062412496641774E-7     2.08379579811088E7
-5.868653746343898E-7     2.127256837091233E7
-5.674894996046023E-7     2.1659297568880074E7
-5.48113624604161E-7      2.200581313770865E7
-5.287377499271143E-7     2.2317875447545554E7
-5.093618746032789E-7     2.2595484513153717E7
-4.899922683222996E-7     2.2844026163077682E7
-4.899907679696029E-7     2.284404445446896E7
-4.899892673843826E-7     2.2844062748546213E7
-4.706196613359269E-7     2.3067804189394444E7
-4.512530567095691E-7     2.3266720359288435E7
-4.512485547048685E-7     2.3266763721735165E7
-4.512440538582002E-7     2.32668071797796E7
-4.31897531895632E-7      2.3444694482232872E7
-4.1257982642379256E-7    2.3604500750113443E7
-4.125465091424041E-7     2.3604760989537288E7
-4.125131421611622E-7     2.3605021564089235E7
-3.9319548638917637E-7    2.3746963240351323E7
-3.739817491073193E-7     2.387324051504522E7
-3.7388856040033063E-7    2.3873821870882746E7
-3.737949289632106E-7     2.3874405686294124E7
-3.5458163441148483E-7    2.3987792758816067E7
-3.3545918866740985E-7    2.408797102497605E7
-3.3527470568667725E-7    2.408887600184019E7
-3.350898330164242E-7     2.4089784214257054E7
-3.1604502647875793E-7    2.4178727804034494E7
-2.971509996344335E-7     2.425791402417828E7
-2.9681534809412785E-7    2.4259239245740984E7
-2.964770179593259E-7     2.4260572163016528E7
-2.7758566970949777E-7    2.433041024674595E7
-2.58969011387715E-7      2.4391721156562537E7
-2.584844962704925E-7     2.4393230207802363E7
-2.5799612087167823E-7    2.4394746835114952E7
-2.3938332283148714E-7    2.444922049572171E7
-2.2091764653784375E-7    2.449685536594482E7
-2.2028215823674913E-7    2.4498381251753107E7
-2.196494406159362E-7     2.4499898271673083E7
-2.0137558502853754E-7    2.4541258871064052E7
-1.8317520507267762E-7    2.4577730484520264E7
-1.8246899080677287E-7    2.4579050673626423E7
-1.8175992552680608E-7    2.4580369053169474E7
-1.635623965850082E-7     2.4611756448230304E7
-1.4561861163666304E-7    2.463866288562963E7
-1.4489421298741455E-7    2.4639672917482138E7
-1.4417077622634328E-7    2.4640675706761386E7
-1.262260293898209E-7     2.4663662303947862E7
-1.0825742305271132E-7    2.468304361158873E7
-1.075578403944907E-7     2.468372472019011E7
-1.0686899172781744E-7    2.468439318277974E7
-8.911170949737705E-8     2.4700073163224466E7
-7.124627572899738E-8     2.4712828262502644E7
-7.066558555604191E-8     2.4713192012696948E7
-7.008841069293481E-8     2.4713550389206868E7
-5.2219461614706776E-8    2.472308116838268E7
-3.436307477365583E-8     2.472976686105493E7
-3.391775811635865E-8     2.4729898239183623E7
-3.3476093098417123E-8    2.473002684059207E7
-1.561605461801055E-8     2.4733809262071244E7
2.3916487594537712E-9     2.4734821059582643E7
2.6856500041113765E-9     2.47348142727021E7
2.9766152986537906E-9     2.4734807707367253E7
2.0949666819809317E-8     2.4732973725566037E7
3.9079150118191785E-8     2.472827121942521E7
3.921368581841497E-8      2.47282256140315E7
3.9347060665990555E-8     2.4728180246416558E7
5.74777048170206E-8       2.4720569902515672E7
7.561576778723709E-8      2.471000037142676E7
7.565726770650947E-8      2.470997256467164E7
7.569870789874314E-8      2.470994478142795E7
9.383683059599831E-8      2.4696200455846902E7
1.120010954585705E-7      2.4679269171424937E7
1.1201639353488591E-7     2.4679253578264453E7
1.1203172104205225E-7     2.4679238009479024E7
1.3024780881039552E-7     2.465884034382922E7
1.4847194206657164E-7     2.4634639288809136E7
1.484792240833338E-7      2.4634628859976772E7
1.4848650288527216E-7     2.4634618435142897E7
1.667106393562721E-7      2.460661912443242E7
1.8514282695721916E-7     2.457402735140466E7
1.8514514741790116E-7     2.4574022940694142E7
1.851474676341218E-7      2.4574018530370843E7
2.0357965547953025E-7     2.453653821914537E7
2.220137853675171E-7      2.449416587919166E7
2.2201416354046327E-7     2.4494164959886182E7
2.2201454797142716E-7     2.4494164027992554E7
2.4075464781495984E-7     2.4445434658295676E7
2.594947850191475E-7      2.439009219215769E7
2.5949513208966403E-7     2.439009110596772E7
2.5949547915948865E-7     2.4390090019777633E7
2.782356163643682E-7      2.432813430280438E7
2.972835744889137E-7      2.4257391146509897E7
2.9728386395376424E-7     2.425739000167605E7
2.972841534172679E-7      2.4257388856845416E7
3.1633211154316015E-7     2.4177462478118915E7
3.353801583043868E-7      2.4088352720048685E7
3.353803591326215E-7      2.408835173222742E7
3.353805622137666E-7      2.408835073598852E7
3.5464233513183857E-7     2.3987453634627372E7
3.7390415408843745E-7     2.387372607329547E7
3.73904311131062E-7       2.3873725093765453E7
3.7390446817331135E-7     2.387372411423693E7
3.931662871302856E-7      2.3747166109546922E7
4.1252217276983387E-7     2.360495033406973E7
4.1252227890057326E-7     2.3604949505287867E7
4.125223850309998E-7      2.3604948676507916E7
4.318782706708611E-7      2.3444861610221397E7
4.512342134035494E-7      2.3266902897837736E7
4.5123426244115863E-7     2.326690242438921E7
4.512343115290798E-7      2.3266901951632448E7
4.7061013515302E-7        2.3067907751932178E7
4.89985979918832E-7       2.2844101973710325E7
4.899860078648803E-7      2.284410163301924E7
4.899860358108978E-7      2.2844101292328484E7
5.093618805767407E-7      2.2595484067608602E7
5.287377416181774E-7      2.231787522042048E7
5.287377539037321E-7      2.231787503347564E7
5.287377661892804E-7      2.231787484653089E7
5.481136272307236E-7      2.2005812751289144E7
5.674894984512126E-7      2.1659297260594364E7
5.674895005577152E-7      2.1659297221052546E7
5.674895026642175E-7      2.1659297181607537E7
5.868653752697985E-7      2.1272568034415334E7
6.062412499818818E-7      2.08379576582238E7
6.062412506840681E-7      2.0837957641605806E7
6.25617124693965E-7       2.0355466092474524E7
6.449929997279689E-7      1.9816977687029485E7
6.643688747619727E-7      1.92119014390154E7
6.837447497959767E-7      1.8540237348432247E7
7.031206248299806E-7      1.7790811005924053E7
7.224964998639844E-7      1.6948772419648476E7
7.418723748979883E-7      1.6014121589605503E7
7.612482499319923E-7      1.4971143862528386E7
7.80624124965996E-7       1.3799538884880425E7
8.0E-7                    1.2499306656661585E7
